,year,model,scenario,tas
164,2050,IPSL-CM5A-LR,rcp45,-6.0156913812651736
165,2060,IPSL-CM5A-LR,rcp45,-5.03215877846933
166,2070,IPSL-CM5A-LR,rcp45,-5.154294786327985
167,2080,IPSL-CM5A-LR,rcp45,-4.90229911964765
168,2090,IPSL-CM5A-LR,rcp45,-4.846332610754341
169,2100,IPSL-CM5A-LR,rcp45,-3.9035279552220423
170,2110,IPSL-CM5A-LR,rcp45,-4.243066967108579
171,2120,IPSL-CM5A-LR,rcp45,-4.4032750049078215
172,2130,IPSL-CM5A-LR,rcp45,-4.217565931587832
173,2140,IPSL-CM5A-LR,rcp45,-4.722054266125587
174,2150,IPSL-CM5A-LR,rcp45,-4.0165412832028276
175,2160,IPSL-CM5A-LR,rcp45,-3.497488953809817
176,2170,IPSL-CM5A-LR,rcp45,-4.3583169149103504
177,2180,IPSL-CM5A-LR,rcp45,-4.500182054942251
178,2190,IPSL-CM5A-LR,rcp45,-3.984537298605961
179,2200,IPSL-CM5A-LR,rcp45,-3.825596472479352
180,2210,IPSL-CM5A-LR,rcp45,-3.8673518736588917
181,2220,IPSL-CM5A-LR,rcp45,-4.219212198540371
182,2230,IPSL-CM5A-LR,rcp45,-4.578262258684716
183,2240,IPSL-CM5A-LR,rcp45,-4.242458583503496
184,2250,IPSL-CM5A-LR,rcp45,-4.370779763291433
185,2260,IPSL-CM5A-LR,rcp45,-3.809293396933954
186,2270,IPSL-CM5A-LR,rcp45,-4.178383402899606
187,2280,IPSL-CM5A-LR,rcp45,-4.6136775411573625
188,2290,IPSL-CM5A-LR,rcp45,-3.343692804805961
189,2300,IPSL-CM5A-LR,rcp45,-2.062889802902657
190,2000,IPSL-CM5A-LR,rcp60,-8.515937664728993
191,2010,IPSL-CM5A-LR,rcp60,-7.288225547952641
192,2020,IPSL-CM5A-LR,rcp60,-7.6377320406892615
193,2030,IPSL-CM5A-LR,rcp60,-6.948433518275521
194,2040,IPSL-CM5A-LR,rcp60,-6.1006788518330985
195,2050,IPSL-CM5A-LR,rcp60,-5.168973566524712
196,2060,IPSL-CM5A-LR,rcp60,-5.557176043751625
197,2070,IPSL-CM5A-LR,rcp60,-4.768581212210761
198,2080,IPSL-CM5A-LR,rcp60,-4.444743246495093
199,2090,IPSL-CM5A-LR,rcp60,-3.848419952740794
200,2100,IPSL-CM5A-LR,rcp60,-4.206814613731126
201,2000,IPSL-CM5A-LR,rcp85,-7.065234741167604
202,2010,IPSL-CM5A-LR,rcp85,-7.543322637525001
203,2020,IPSL-CM5A-LR,rcp85,-7.069447963120119
204,2030,IPSL-CM5A-LR,rcp85,-7.097665535119009
205,2040,IPSL-CM5A-LR,rcp85,-5.944162052150092
206,2050,IPSL-CM5A-LR,rcp85,-4.584278603515131
207,2060,IPSL-CM5A-LR,rcp85,-3.247953089045622
